Order,Question,Country,Answer,Comment
17,Can you issue the Policy retroactively (i.e. backdating of the effective date of coverage permitted)? ,Cameroon,No,
18,Can you issue policy certificates (proof of insurance) pending the issuance of the policy?,Cameroon,Yes,
19,Can you issue the policy BEFORE signing the Slip/Reinsurance Covernote?,Cameroon,Yes,
20,Is a Broker mandatory in your country to issue the policy?,Cameroon,No,
21,In what currency (on the top of the local currency) are you able to issue the policy?,Cameroon,USD/EUR/GBP,
22,Can you agree on Centralized Premium Collection (CPC)?,Cameroon,Yes,
23,"If yes, can you accept to receive directly only the deductions (e.g. overrider fees, brokerage, …) and local taxes (i.e. premium will not be transferred to you)?",Cameroon,No,
24,"On what basis are the Reinsurance Bordereauxs ceded back to Generali (i.e. monthly, quarterly)?",Cameroon,Quarterly,
25,What are your standard Terms (number of days) to send the Premiums and Claims Bordereaux after the closing of the relevant period (ex. 30 days after the closing of the quarter)? Please specify the number of days.,Cameroon,60,
26,Please provide your Bank Name,Cameroon,AS PER THE ATTACHED ,Please indicate us the bank address on column D
27,Please provide your Bank Account Number,Cameroon,,
28,Please provide your Bank Account currency,Cameroon,,
29,What is your Policy Jurisdiction for Casualty and Financial Lines policies?,Cameroon,NIGERIA,
30,"If you exclude Pandemic/Infectious Disease/Communicable Disease (e.g. COVID-19), please provide the wording of the exclusion.",Cameroon,,We kindly ask you to provide us the answer on column C
31,"(Property) When you are covering Public Authority (BI), do you exclude Pandemic/Infectious Disease/Communicable Disease (e.g. COVID-19) as loss trigger?",Cameroon,,
32,"(Property) If yes, please provide the wording of the Public Authority clause",Cameroon,"Reinstatement of Buildings – Compliance with Regulations (Cameroon)

The insurance on Buildings under this policy extends to include such additional cost of reinstatement of the destroyed or damaged property hereby insured as may be incurred solely by reason of the necessity to comply with Building Regulations, Government Ordinances, or Bye-Laws of any Municipal or Local Authority within the Republic of Cameroon, provided that:

The amount recoverable under this Extension shall not include:

Any cost incurred in complying with the aforesaid Regulations, Ordinances, or Bye-Laws:

in respect of destruction or damage occurring prior to the granting of this Extension;

in respect of destruction or damage not insured by this policy;

where notice has been served upon the Insured prior to the happening of the destruction or damage, in respect of undamaged property or undamaged portions of property, other than foundations (unless foundations are expressly excluded from this policy).

The additional cost that would have been required to reinstate the damaged or destroyed property to a condition equal to its condition when new, had compliance with the aforesaid Regulations, Ordinances, or Bye-Laws not been necessary.

Any rate, tax, duty, development levy, or other charge or assessment arising out of capital appreciation, payable in respect of the property or by the owner thereof, by reason of compliance with the aforesaid Regulations, Ordinances, or Bye-Laws.

Reinstatement Work:
The work of reinstatement must be commenced and carried out with reasonable despatch and in any case must be completed within twenty-four (24) months after the occurrence of the destruction or damage, or within such further time as the Insurers may (during the said twenty-four months) in writing allow. Such reinstatement may be carried out wholly or partially upon another site in Cameroon (if so required by the aforesaid Regulations, Ordinances, or Bye-Laws), subject always to the liability of the Insurers under this Extension not being thereby increased.

Proportional Reduction:
If the liability of the Insurers under the policy (apart from this Extension) shall be reduced by the application of any terms and conditions of the policy, then the liability of the Insurers under this Extension shall likewise be reduced in the same proportion.

Maximum Liability:
The total amount recoverable in respect of Buildings shall not exceed the sum insured thereon (included within the total sum insured by this policy).

Policy Conditions:
All the terms, conditions, and provisions of the policy, except insofar as they are expressly varied herein, shall apply as if they had been incorporated into this Extension.",
33,Do you include a Sanctions Clause in your policy?,Cameroon,Yes,
34,"If yes, please provide the Sanctions Clause wording",Cameroon,"No insurer shall be deemed to provide cover and no insurer shall be liable to pay any claim or provide any benefit hereunder to the extent that the provision of such cover, payment of such claim or provision of such benefit would expose the insurer or its parent to any sanction, prohibition or restriction implemented pursuant to resolutions of the United Nations or the trade and economic sanctions, laws, or regulations of the Republic of Cameroon, the African Union, the European Union, the United Kingdom, or the United States of America.",We noticed that the Public autority clause wording is the same as the wording indicated for  Sanctions Clause. Could you please check and send us the correct wording for both clauses?
35,Do you have a Sanctions Screening Process / Tool to perform the required check and screening in compliance with International and Territorial Sanctions?,Cameroon,Yes,
36,(Marine Cargo) Is there any compulsory local insurance based on the incoterms?,Cameroon,Yes,
37,(Marine Cargo) Is there any compulsory local insurance based on import/export/domestic transit?,Cameroon,Yes,
38,Do you need to get confirmation of the policy draft from the broker before policy issuance according to your local regulation?,Cameroon,No,
39,Can you work with a Third Party Administrator (TPA)?,Cameroon,No,PLEASE CLARIFY
40,Do you have a list of approved TPA you work with?,Cameroon,No,
41,Can you delegate Claims Authority to a TPA or to Generali as Reinsurer?,Cameroon,Yes,
42,Is an English language non-binding version of the policy available upon request?,Cameroon,Yes,The policy is issued originally in English
43,"Do you need any specific document to issue the requested local policy (e.g. KYC, etc.)?",Cameroon,Yes,"Proposal form, Company CAC"
44,(Property) Can you issue policies on an All Risks basis?,Cameroon,Yes,
45,"(Property) If you exclude Cyber risk, please provide the wording of the exclusion.",Cameroon,Not available,
